titulo,empresa,ubicacion,fecha_publicacion,descripcion,url,fuente
Químico Farmacéutico Fiscalizador Interno,FARMACIAS DE SIMILARES,"Santiago de Chile, Región Metropolitana",,,https://cl.indeed.com/rc/clk?jk=d1f03c1209cba4fc&bb=jt5Z_Z8zeK9K-IkWsflXAvgeLPVI5iPDNmclnAwNVGouoNtoi_PfGYUeAJqAk1lhAv8I5W5oO2DnPXxCHJ0Ie_RcB3JVsZs71aEG1tqDJoFPWoB1v63sqFheLPBWtlJD&xkcb=SoC-67M3lsEAm2SETh0MbzkdCdPP&fccid=ae9c6b065d2152b9&vjs=3,indeed.cl
Químico(a) Farmacéutico(a) Part Time,Empresas SB,"Santiago de Chile, Región Metropolitana",,,https://cl.indeed.com/rc/clk?jk=ecdbb2bbbf0deac0&bb=jt5Z_Z8zeK9K-IkWsflXAn2y4CNOdKb_oJBDsXGdGEJPckPWgxwusiiZv1efz-QkqJJOcjgEbYBj-xgaWKx769OBWmJleijrR5oBudRfih3uKlcbylWqzwBYXRO_wnoE&xkcb=SoBX67M3lsEAm2SETh0DbzkdCdPP&fccid=cd7e6404d11526e7&vjs=3,indeed.cl
Analista Químico,Maclean Ltda,"Santiago de Chile, Región Metropolitana",,,https://cl.indeed.com/rc/clk?jk=e2b1e8bf352670cd&bb=jt5Z_Z8zeK9K-IkWsflXArxWDkg21pHnvd_QG2J02V2RSlecKhb5EZN5jZQaXqJGQCU4eYoHTBMEtR4opEduQgmhH738XRO8KpLO9bQ4dA1UTaJCE0c6XTAyz1Me4b-v&xkcb=SoDj67M3lsEAm2SETh0CbzkdCdPP&fccid=9f7cae8d11793e7c&vjs=3,indeed.cl
auxiliar de farmacia (42 hrs semanales Lunes a Viernes),Farmacia El Químico,"La Florida, Región Metropolitana",,,https://cl.indeed.com/rc/clk?jk=6f56656dc18da804&bb=jt5Z_Z8zeK9K-IkWsflXAqXrPm7NYZnrWYGNMoX72shYomqQo_sL8C2X3Sda9QEPU0Lv1Rfw4C97r_YuRENRgqe2tdXulDkrV2B5NG6q83ACS6cBDQlGOv8SkveHMKwZ&xkcb=SoB-67M3lsEAm2SETh0BbzkdCdPP&fccid=10e3c527cff1085a&cmp=Farmacia-El-Qu%25C3%25ADmico&ti=Auxiliar+de+farmacia&vjs=3,indeed.cl
Analista de Aseguramiento de la Calidad,Eurofarma Chile SpA,"Pudahuel, Región Metropolitana",,,https://cl.indeed.com/rc/clk?jk=e9335a482e95dd5e&bb=jt5Z_Z8zeK9K-IkWsflXAgx9Ec_i80cAVXf1m7jEefYzOIi-P_8Fa0tI8NjDsrG2AxFmVBt4lcFU-4dPIeHMkZtrlW2aTtrFpHmaW7qnVS1EuPWJe0obzNKMIiOd3nWY&xkcb=SoDK67M3lsEAm2SETh0AbzkdCdPP&fccid=255cf33659ebf82b&vjs=3,indeed.cl
TECNICO PREPARADOS INYECTABLES - FARMACIA ASISTENCIAL,FUNDACIÓN ARTURO LÓPEZ PÉREZ,"Providencia, Región Metropolitana",,,https://cl.indeed.com/rc/clk?jk=ea61297d5a64c93f&bb=jt5Z_Z8zeK9K-IkWsflXAggRgMRx89wxkydbQeVrpdGR2yuXVK3Dz0Hucrd8ZWoZQe96kOzx13KrggzjBLINS_3ea7c0jbIrNm9T9vR4NYDhXmKWZS1qmYVFOpJ9c5t0&xkcb=SoBE67M3lsEAm2SETh0HbzkdCdPP&fccid=704159d41691402f&vjs=3,indeed.cl
Químico(a) Farmacéutico(a) Full Time,Empresas SB,"Santiago de Chile, Región Metropolitana",,,https://cl.indeed.com/rc/clk?jk=dfa4aff04a257317&bb=jt5Z_Z8zeK9K-IkWsflXAjiP5ayffLYWeAP-0TMVYOFZRMZ4TQ76c2Tr3KsgYqjz9ihcVXjOtdR2bGpCWpd-CGuVXom8aHS-TnRNzpY6_BVmP_zj0cTXc0rdO-u2rNB8&xkcb=SoDw67M3lsEAm2SETh0GbzkdCdPP&fccid=cd7e6404d11526e7&vjs=3,indeed.cl
Analista Químico junior,Maclean Ltda,"Santiago de Chile, Región Metropolitana",,,https://cl.indeed.com/rc/clk?jk=9dd6e7d61eb8d7f9&bb=jt5Z_Z8zeK9K-IkWsflXAuTRwZMq7gaS1ogY96CUl2Y0vlM-rz3waIpTEDe08TbRb5tcfF-qpssx9vQSb4dYkUX3_jf1o9ZCSe1DIozg6w6o7Bp2LzlU6DWFjmsmkABO&xkcb=SoBt67M3lsEAm2SETh0FbzkdCdPP&fccid=9f7cae8d11793e7c&vjs=3,indeed.cl
QUÍMICO FARMACÉUTICO(A) PARA LA UNIDAD DE DECOMISO (REEMPLAZO),Dirección del Servicio Salud O'Higgins,,Plazos de Postulación 03/04/2026 - 10/04/2026,"Contar con un profesional con formación en el área química, con conocimientos respecto del manejo de sustancias peligrosas de orden químico y de las enumeradas en la Ley N°20.000 y su reglamento.",https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=139398&c=0&j=0&tipo=convpostularavisoTrabajo,empleospublicos.cl
ANALISTA QUÍMICO - CENTRO AVANZADO DE TECNOLOGÍA PARA LA MINERÍA (AMTC) - FACULTAD DE CIENCIAS FÍSICAS Y MATEMÁTICAS (FCFM),Facultad de Ciencias Físicas y Matemáticas,,Plazos de Postulación 24/03/2026 - 07/04/2026,"Apoyar la ejecución de análisis químicos y actividades experimentales en laboratorio, mediante la preparación de muestras, operación de equipos analíticos, especialmente cromatografía iónica y control de calidad de resultados, contribuyendo al desarrollo de proyectos de investigación, desarrollo tecnológico ... [+]",https://www.empleospublicos.cl/pub/convocatorias/convpostularavisoTrabajo.aspx?i=139244&c=0&j=0&tipo=convpostularavisoTrabajo,empleospublicos.cl
